LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;276.000;8.000;1.000;12.000;0.552;0.532;0.884
2;273.000;9.000;0.000;15.000;0.545;0.524;0.701
3;277.000;9.000;0.000;11.000;0.621;0.604;0.607
4;280.000;9.000;0.000;8.000;0.692;0.680;0.761
5;273.000;8.000;0.000;15.000;0.516;0.496;0.695
6;275.000;9.000;0.000;13.000;0.581;0.562;0.637
7;272.000;8.000;1.000;16.000;0.485;0.461;0.352
8;281.000;9.000;0.000;7.000;0.720;0.709;0.752
9;273.000;9.000;0.000;15.000;0.545;0.524;0.875
10;278.000;7.000;1.000;10.000;0.560;0.543;0.569
11;272.000;9.000;0.000;16.000;0.529;0.507;0.696
12;274.000;9.000;0.000;14.000;0.562;0.543;0.688
13;280.000;9.000;0.000;8.000;0.692;0.680;0.825
14;278.000;9.000;0.000;10.000;0.643;0.628;0.748
15;275.000;8.000;0.000;13.000;0.552;0.533;0.352
16;274.000;9.000;0.000;14.000;0.562;0.543;0.714
17;271.000;9.000;0.000;17.000;0.514;0.491;0.621
18;279.000;7.000;2.000;9.000;0.560;0.542;0.610
19;280.000;9.000;0.000;8.000;0.692;0.680;0.668
20;273.000;8.000;0.000;15.000;0.516;0.496;0.658
21;272.000;9.000;0.000;16.000;0.529;0.507;0.684
22;279.000;9.000;0.000;9.000;0.667;0.653;0.782
23;277.000;9.000;0.000;11.000;0.621;0.604;0.747
24;279.000;9.000;0.000;9.000;0.667;0.653;0.592
25;273.000;8.000;0.000;15.000;0.516;0.496;0.394
max;281.000;9.000;2.000;17.000;0.720;0.709;0.884
avg;275.760;8.600;0.200;12.240;0.586;0.568;0.665
min;271.000;7.000;0.000;7.000;0.485;0.461;0.352
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;288.000;6.000;3.000;0.000;0.800;0.795
2;283.000;8.000;1.000;5.000;0.727;0.717
3;285.000;6.000;3.000;3.000;0.667;0.656
4;288.000;5.000;4.000;0.000;0.714;0.708
5;286.000;6.000;2.000;2.000;0.750;0.743
6;287.000;7.000;2.000;1.000;0.824;0.818
7;283.000;3.000;6.000;5.000;0.353;0.334
8;287.000;8.000;1.000;1.000;0.889;0.885
9;286.000;8.000;1.000;2.000;0.842;0.837
10;286.000;3.000;5.000;2.000;0.462;0.450
11;286.000;6.000;3.000;2.000;0.706;0.697
12;286.000;6.000;3.000;2.000;0.706;0.697
13;288.000;7.000;2.000;0.000;0.875;0.872
14;287.000;5.000;4.000;1.000;0.667;0.658
15;283.000;7.000;1.000;5.000;0.700;0.690
16;286.000;8.000;1.000;2.000;0.842;0.837
17;287.000;7.000;2.000;1.000;0.824;0.818
18;283.000;5.000;4.000;5.000;0.526;0.511
19;286.000;6.000;3.000;2.000;0.706;0.697
20;286.000;7.000;1.000;2.000;0.824;0.818
21;284.000;8.000;1.000;4.000;0.762;0.753
22;288.000;6.000;3.000;0.000;0.800;0.795
23;287.000;8.000;1.000;1.000;0.889;0.885
24;287.000;6.000;3.000;1.000;0.750;0.743
25;282.000;5.000;3.000;6.000;0.526;0.511
max;288.000;8.000;6.000;6.000;0.889;0.885
avg;285.800;6.280;2.520;2.200;0.725;0.717
min;282.000;3.000;1.000;0.000;0.353;0.334
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;281.000;7.000;2.000;7.000;0.609;0.594
2;273.000;9.000;0.000;15.000;0.545;0.524
3;276.000;9.000;0.000;12.000;0.600;0.582
4;283.000;9.000;0.000;5.000;0.783;0.774
5;276.000;8.000;0.000;12.000;0.571;0.554
6;280.000;8.000;1.000;8.000;0.640;0.625
7;275.000;9.000;0.000;13.000;0.581;0.562
8;278.000;9.000;0.000;10.000;0.643;0.628
9;280.000;9.000;0.000;8.000;0.692;0.680
10;281.000;7.000;1.000;7.000;0.636;0.623
11;275.000;9.000;0.000;13.000;0.581;0.562
12;276.000;9.000;0.000;12.000;0.600;0.582
13;283.000;9.000;0.000;5.000;0.783;0.774
14;278.000;8.000;1.000;10.000;0.593;0.575
15;275.000;8.000;0.000;13.000;0.552;0.533
16;275.000;9.000;0.000;13.000;0.581;0.562
17;277.000;9.000;0.000;11.000;0.621;0.604
18;280.000;8.000;1.000;8.000;0.640;0.625
19;283.000;8.000;1.000;5.000;0.727;0.717
20;274.000;8.000;0.000;14.000;0.533;0.514
21;273.000;9.000;0.000;15.000;0.545;0.524
22;281.000;9.000;0.000;7.000;0.720;0.709
23;283.000;9.000;0.000;5.000;0.783;0.774
24;283.000;9.000;0.000;5.000;0.783;0.774
25;275.000;6.000;2.000;13.000;0.444;0.422
max;283.000;9.000;2.000;15.000;0.783;0.774
avg;278.160;8.440;0.360;9.840;0.631;0.616
min;273.000;6.000;0.000;5.000;0.444;0.422
