LR
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score;average precision score
1;241.000;9.000;2.000;46.000;0.273;0.225;0.390
2;233.000;10.000;1.000;54.000;0.267;0.217;0.615
3;242.000;10.000;1.000;45.000;0.303;0.257;0.269
4;248.000;5.000;6.000;39.000;0.182;0.130;0.168
5;242.000;6.000;1.000;43.000;0.214;0.180;0.400
6;245.000;9.000;2.000;42.000;0.290;0.244;0.320
7;243.000;8.000;3.000;44.000;0.254;0.206;0.457
8;240.000;7.000;4.000;47.000;0.215;0.164;0.375
9;250.000;8.000;3.000;37.000;0.286;0.241;0.298
10;224.000;6.000;1.000;61.000;0.162;0.124;0.401
11;236.000;10.000;1.000;51.000;0.278;0.230;0.403
12;238.000;9.000;2.000;49.000;0.261;0.212;0.400
13;245.000;8.000;3.000;42.000;0.262;0.215;0.228
14;243.000;8.000;3.000;44.000;0.254;0.206;0.532
15;242.000;5.000;2.000;43.000;0.182;0.146;0.413
16;255.000;7.000;4.000;32.000;0.280;0.236;0.474
17;243.000;9.000;2.000;44.000;0.281;0.234;0.350
18;230.000;9.000;2.000;57.000;0.234;0.182;0.257
19;243.000;8.000;3.000;44.000;0.254;0.206;0.295
20;243.000;5.000;2.000;42.000;0.185;0.150;0.511
21;253.000;8.000;3.000;34.000;0.302;0.259;0.241
22;230.000;9.000;2.000;57.000;0.234;0.182;0.486
23;240.000;8.000;3.000;47.000;0.242;0.193;0.531
24;242.000;10.000;1.000;45.000;0.303;0.257;0.515
25;231.000;5.000;2.000;54.000;0.152;0.114;0.130
max;255.000;10.000;6.000;61.000;0.303;0.259;0.615
avg;240.880;7.840;2.360;45.720;0.246;0.200;0.378
min;224.000;5.000;1.000;32.000;0.152;0.114;0.130
---
GB
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;286.000;1.000;10.000;1.000;0.154;0.144
2;284.000;5.000;6.000;3.000;0.526;0.511
3;286.000;1.000;10.000;1.000;0.154;0.144
4;281.000;3.000;8.000;6.000;0.300;0.276
5;284.000;1.000;6.000;1.000;0.222;0.214
6;282.000;1.000;10.000;5.000;0.118;0.094
7;284.000;4.000;7.000;3.000;0.444;0.428
8;285.000;3.000;8.000;2.000;0.375;0.360
9;285.000;2.000;9.000;2.000;0.267;0.252
10;284.000;1.000;6.000;1.000;0.222;0.214
11;284.000;1.000;10.000;3.000;0.133;0.116
12;286.000;1.000;10.000;1.000;0.154;0.144
13;283.000;1.000;10.000;4.000;0.125;0.104
14;284.000;2.000;9.000;3.000;0.250;0.232
15;284.000;3.000;4.000;1.000;0.545;0.537
16;286.000;2.000;9.000;1.000;0.286;0.274
17;285.000;3.000;8.000;2.000;0.375;0.360
18;282.000;2.000;9.000;5.000;0.222;0.199
19;284.000;1.000;10.000;3.000;0.133;0.116
20;282.000;2.000;5.000;3.000;0.333;0.320
21;284.000;0.000;11.000;3.000;0.000;-0.016
22;286.000;3.000;8.000;1.000;0.400;0.388
23;287.000;1.000;10.000;0.000;0.167;0.162
24;281.000;2.000;9.000;6.000;0.211;0.185
25;281.000;2.000;5.000;4.000;0.308;0.292
max;287.000;5.000;11.000;6.000;0.545;0.537
avg;284.000;1.920;8.280;2.600;0.257;0.242
min;281.000;0.000;4.000;0.000;0.000;-0.016
---
KNN
Nr.;TN;TP;FN;FP;f1 score;cohens kappa score
1;257.000;8.000;3.000;30.000;0.327;0.286
2;260.000;8.000;3.000;27.000;0.348;0.309
3;258.000;6.000;5.000;29.000;0.261;0.217
4;262.000;7.000;4.000;25.000;0.326;0.286
5;261.000;6.000;1.000;24.000;0.324;0.297
6;265.000;8.000;3.000;22.000;0.390;0.355
7;239.000;8.000;3.000;48.000;0.239;0.189
8;252.000;8.000;3.000;35.000;0.296;0.252
9;267.000;8.000;3.000;20.000;0.410;0.377
10;262.000;6.000;1.000;23.000;0.333;0.307
11;263.000;9.000;2.000;24.000;0.409;0.374
12;258.000;10.000;1.000;29.000;0.400;0.363
13;257.000;9.000;2.000;30.000;0.360;0.321
14;259.000;6.000;5.000;28.000;0.267;0.223
15;255.000;6.000;1.000;30.000;0.279;0.249
16;267.000;5.000;6.000;20.000;0.278;0.239
17;256.000;9.000;2.000;31.000;0.353;0.313
18;249.000;10.000;1.000;38.000;0.339;0.297
19;254.000;7.000;4.000;33.000;0.275;0.230
20;255.000;5.000;2.000;30.000;0.238;0.206
21;268.000;10.000;1.000;19.000;0.500;0.472
22;257.000;10.000;1.000;30.000;0.392;0.355
23;260.000;6.000;5.000;27.000;0.273;0.230
24;256.000;9.000;2.000;31.000;0.353;0.313
25;266.000;5.000;2.000;19.000;0.323;0.296
max;268.000;10.000;6.000;48.000;0.500;0.472
avg;258.520;7.560;2.640;28.080;0.332;0.294
min;239.000;5.000;1.000;19.000;0.238;0.189
